Unnamed: 0,created_at_fuzzy,state_likely_tweeted_from,text,source,display_text_width,lang,favorite_count,retweet_count,is_quote,followers_count,friends_count,listed_count,statuses_count,favourites_count,Biden initially,Trump initially,Toxicity_not_neutral,Fact_assessment_not_neutral,Toxicity,Fact assessment
0,2020-08-13T16:55:49Z,California,LIVE: presidential candidate holds press conference https://t.co/6vWNh32OxY via @YouTube,Twitter Web App,71,en,0,0,False,3281,4938,4,39349,23299,0,1,1,no verdict,1,'no verdict'
1,2020-08-30T00:03:31Z,Tennessee,"presidential candidate’s claim the ‘silent majority’ will save his re-election bid demolished by CNN polling expert...

Because no matter how much presidential candidate wishes it were true, the voices in his head won't get him re-elected.",Twitter Web App,205,en,9,2,False,2866,3000,2,23786,30906,0,1,8,'no verdict',8,'no verdict'
2,2020-10-26T23:16:05Z,New York,"#NewHampshire #VoteBlue #VoteBlueToSaveAmerica  #VoteBlueToSaveAmerica2020 

#BIDENHARRIS2020

This influential newspaper just broke a 100-plus year streak of endorsing a Republican and endorsed presidential candidate FOR PRESIDENT!
https://t.co/mS86DxsHHQ

#NHpol #NHpolitics #NH",Twitter Web App,267,en,7,4,False,32221,26550,52,304911,146137,1,0,2,'true',1,'true'
3,2020-08-24T09:54:59Z,Florida,"@davidsirota I'm so confused, when is the media going to point out the obvious and brutal attacks by Kamala Harris supporters and the presidential candidate supporters? Why was Bernie Sanders supporters smeared just because they critiqued using policy? I hate the media hypocrisy on this.",Twitter for Android,262,en,2,0,False,457,375,5,16851,7429,1,0,7,'no verdict',5,'no verdict'
4,2021-02-04T11:31:07Z,Washington,@Carlos27480217 @DonaldJTrumpJr Yep! He has Balls!! Now with Our Whimp in office and presidential candidate will have US owned by China!!,Twitter for Android,88,en,0,0,False,43,177,0,2618,1517,1,0,8,'false',8,'no verdict'
5,2021-01-03T11:54:56Z,Texas,"@HouseGOP @SenateGOP @GOP @NRSC @NRCC It is in the best interest of ALL who call themselves #Republicans to join with those objecting to presidential candidate’s electors on 1/6/21. If not, you may as well run as an #Independent #Democrat or #CCP, because #WeThePeople are DONE with you! https://t.co/ZeNPGixRuC",Twitter for iPhone,270,en,0,0,True,17842,15408,29,37936,31978,1,0,8,false,7,'no verdict'
6,2020-09-03T03:39:01Z,Illinois,"@dachs8 @JordanChariton Seriously? Almost every poll sited on the MSM had presidential candidate leading, with that lead narrowing the closer it got until voting started. They wanted Pete, but also pushed Amy, who shouldn't have even made it to most of the debates, yet her bullshit poll #'s got her in. Bloomberg, too.",Twitter for Android,278,en,6,0,False,1116,1588,6,7168,125089,1,0,7,'no verdict',8,'no verdict'
7,2021-02-10T01:29:58Z,North Carolina,"presidential candidate endorses sending stimulus checks to Americans earning $75,000 during meeting with top CEOs https://t.co/KH344qRF0V",Twitter for iPhone,120,en,0,0,False,377,295,1,84774,38849,1,0,2,'true',1,'true'
8,2020-12-16T19:04:31Z,California,Doug Collins is in the Deep state Mitch McConnell in the Deep state the closer presidential candidate gets the truth now all the Republicans are sticking their head out of the swamp the Deep State swamp,Twitter for Android,195,en,1,0,False,91,523,0,1245,1427,0,1,8,False,9,False
9,2020-07-29T13:51:59Z,Kansas,"It was presidential candidate's antic semitic joke: ""You don't look like a Bloomberg!"" https://t.co/4FqQfUr31D",Twitter for Android,69,en,0,0,True,211,637,0,115742,48100,0,1,8,False,7,'true'
