Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
14515,half-true,Brad Schimel,"""An overwhelming majority of Republican and Democrat law enforcement leaders have endorsed Brad Schimel.""",10/1/2014,campaign,Dave Umhoefer,10/13/2014,https://www.politifact.com/factchecks/2014/oct/13/brad-schimel/brad-schimel-says-most-republican-and-democrat-col/,1,'false'
11083,false,Dane Eagle,"Antifa ""are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.""",6/22/2020,advertisement,Daniel Funke,6/26/2020,https://www.politifact.com/factchecks/2020/jun/26/dane-eagle/florida-congressional-candidate-blames-antifa-viol/,7,false
9587,half-true,National Republican Congressional Committee,"Says ""Nick Rahall voted with Obama 94 percent of the time.""",9/8/2014,campaign,Louis Jacobson,9/15/2014,https://www.politifact.com/factchecks/2014/sep/15/national-republican-congressional-committee/nrcc-says-nick-rahall-voted-barack-obama-94-time/,1,Unverifiable
13219,mostly-false,Bill Clinton,"Says the government has ""gotten the TARP money back plus a profit.""",9/20/2012,news,Jon Greenberg,9/28/2012,https://www.politifact.com/factchecks/2012/sep/28/bill-clinton/bill-clinton-says-tarp-turned-profit/,,True
18987,mostly-true,Floridians for Ethics and Truth in Politics,Aaron Bean voted to give illegal immigrants in-state tuition.,8/24/2012,campaign,Katie Sanders,8/9/2012,https://www.politifact.com/factchecks/2012/aug/09/floridians-ethics-and-truth-politics/pro-weinstein-group-says-aaron-bean-voted-give-tui/,1,Not enough information
9190,pants-fire,Ufconly,"""Police discover meth lab in back room of Alabama Walmart.""",12/10/2017,news,Amy Sherman,1/2/2018,https://www.politifact.com/factchecks/2018/jan/02/ufconly/fake-news-walmart-employees-operating-meth-lab-sto/,1,False
18524,mostly-true,Jeb Bush,"""My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.""",1/24/2016,blog,Louis Jacobson,2/10/2016,https://www.politifact.com/factchecks/2016/feb/10/jeb-bush/jeb-bush-says-his-two-appointments-florida-supreme/,1,'true'
15912,mostly-true,Kirsten Gillibrand,"""One in five"" women in the military ""are receiving unwanted sexual contact,"" as are ""3.3 percent of men.""",4/23/2013,news,Louis Jacobson,4/29/2013,https://www.politifact.com/factchecks/2013/apr/29/kirsten-gillibrand/kirsten-gillibrand-says-one-five-military-women-3-/,1,True
13153,false,Blake Masters,"""Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.""",5/14/2022,social_media,Jon Greenberg,5/16/2022,https://www.politifact.com/factchecks/2022/may/16/blake-masters/factchecking-arizonas-blake-masters-claim-open-bor/,4,False
18822,pants-fire,Fellowship of the Minds,"""Application for March for Our Lives permit was made months before Parkland shooting""",3/30/2018,blog,Mica Soellner,4/3/2018,https://www.politifact.com/factchecks/2018/apr/03/fellowship-minds/no-march-our-lives-demonstration-was-not-prepared-/,1,False
16891,mostly-false,Drug Free America,"Under a proposed medical marijuana amendment in Florida, ""you don't get refills -- you get it forever.""",8/20/2014,speech,Joshua Gillin,8/28/2014,https://www.politifact.com/factchecks/2014/aug/28/drug-free-america/medical-marijuana-amendment-allows-patient-get-it-/,1,False
8701,false,Joe Biden,"""As long as I have served . . . This is the first time every single solitary decision has required 60 senators.""",1/17/2010,other,Catharine Richert,1/22/2010,https://www.politifact.com/factchecks/2010/jan/22/joe-biden/biden-says-every-senate-decision-now-requires-60-v/,1,False
12044,mostly-false,Facebook posts,"""9,871,525 is the number of registered voters in AZ according to FB. AZ population is 7,270,000.""",9/23/2020,social_media,Samantha Putterman,10/1/2020,https://www.politifact.com/factchecks/2020/oct/01/facebook-posts/facebook-didnt-report-nearly-10-million-registered/,1,False
2908,mostly-true,Scott Walker,"""We’re importing about 10 percent of our milk supply. We’re America’s Dairyland, but yet we don’t have enough milk in this state to meet the demand for our cheesemakers.""",7/10/2013,news,Tom Kertscher,7/21/2013,https://www.politifact.com/factchecks/2013/jul/22/scott-walker/americas-dairyland-needs-import-10-its-milk-gov-sc/,1,'true'
5946,mostly-true,Lincoln Chafee,Forty-six states have a line-item veto for the governor.,9/22/2013,news,Gregory Smith,10/6/2013,https://www.politifact.com/factchecks/2013/oct/06/lincoln-chafee/ri-gov-lincoln-chafee-says-governors-46-states-hav/,1,True
1715,mostly-false,Heartland Institute,"Work requirements ""have been proven to help impoverished families move from dependency to self-sufficiency.""",1/22/2018,news,Jon Greenberg,1/26/2018,https://www.politifact.com/factchecks/2018/jan/26/heartland-institute/do-work-requirements-lead-self-sufficiency/,1,'false'
13620,false,Don Pridemore,"Says Gov. Tony Evers ""has never had a real job.""",4/24/2020,news,D.L. Davis,5/8/2020,https://www.politifact.com/factchecks/2020/may/08/don-pridemore/gop-state-senate-candidate-base-claim-wisconsin-go/,1,False
3561,half-true,Terry McAuliffe,Says Ken Cuccinelli tried to make it more difficult for mothers to obtain divorces.,9/4/2013,advertisement,Nancy Madsen,9/26/2013,https://www.politifact.com/factchecks/2013/sep/26/terry-mcauliffe/terry-mcauliffe-says-ken-cuccinelli-tried-make-it-/,1,Not provided
18263,pants-fire,Facebook posts,Says Tom Hanks’ name is on Jeffrey Epstein’s flight logs.,7/27/2020,social_media,Samantha Putterman,7/31/2020,https://www.politifact.com/factchecks/2020/jul/31/facebook-posts/no-tom-hanks-name-not-jeffrey-epsteins-flight-logs/,1,True
14284,mostly-true,Ted Cruz,"""In 2010, 48,000 felons and fugitives lied and illegally tried to purchase guns. They [The Obama administration] prosecuted only 44 of them.""",11/6/2017,news,W. Gardner Selby,11/10/2017,https://www.politifact.com/factchecks/2017/nov/10/ted-cruz/ted-cruz-says-obama-administration-prosecuted-few-/,1,True
1732,mostly-false,GeorgiaCarry.org,"Since 1999, 440 people have been killed in attacks on church property in the United States.",4/9/2014,news,April Hunt,8/1/2014,https://www.politifact.com/factchecks/2014/aug/01/georgiacarryorg-georgiacarryorg/gun-groups-church-violence-stats-cant-be-verified/,1,False
11179,mostly-true,Log Cabin Republicans,"Mitt Romney has ""a pro-choice record.""",10/19/2007,other,Angie Drobnic Holan,10/17/2007,https://www.politifact.com/factchecks/2007/oct/17/log-cabin-republicans/pro-choice-is-his-record-but-not-his-position/,1,True
9684,pants-fire,Facebook posts,"Says Betsy Devos said ""only"" 0.02% of kids are likely to die when they go back to school.",7/11/2020,social_media,Samantha Putterman,7/16/2020,https://www.politifact.com/factchecks/2020/jul/16/facebook-posts/no-betsy-devos-didnt-say-only-002-kids-would-die-i/,1,False
8811,mostly-false,Donald Trump,"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",5/12/2017,social_media,John Kruzel,5/12/2017,https://www.politifact.com/factchecks/2017/may/12/donald-trump/trumps-mostly-false-claim-clapper-said-no-collusio/,1,False
4170,false,Facebook posts,"""With 40 billion dollars, Elon Musk could have given each of the 330M people living in America a million dollars and still had $7B left over.""",4/26/2022,social_media,Jeff Cercone,4/28/2022,https://www.politifact.com/factchecks/2022/apr/28/facebook-posts/no-elon-musk-couldnt-give-every-american-1m-money-/,1,false
12809,mostly-false,Ed Gillespie,"Obamacare ""cuts seniors’ Medicare.""",8/25/2014,campaign,Sean Gorman,9/8/2014,https://www.politifact.com/factchecks/2014/sep/08/ed-gillespie/gillespie-says-obamacare-cuts-seniors-medicare/,1,False
3118,half-true,Ashley Hinson,"California has instituted a ""bacon ban.""",3/6/2022,social_media,Kelsey Harrell,3/11/2022,https://www.politifact.com/factchecks/2022/mar/11/ashley-hinson/california-bacon-ban-applies-more-pork-aims-preven/,1,False
