Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Misinformation,Offensiveness,Inappropriateness,Misleading,Fact assessment,Logical reasoning,Cherry-picking,Explanation,Fact Assessment,Historical context,Quote attribution
5343,TRUE,Norcross City Council,The proposed raises for the Norcross City Council would put it in line with other liked-sized communities.,05/09/2013,news,Eric Stirgus,5/28/2013,https://www.politifact.com/factchecks/2013/may/28/norcross-city-council/do-raises-line-other-cities/,1,,,,,No verdict. The statement lacks sufficient context and specific data to accurately assess whether the proposed raises would indeed align with other similarly-sized communities.,,,,,,
19939,FALSE,Donald Trump,"Says 99% of COVID-19 cases ""are totally harmless.""",07/04/2020,speech,Jon Greenberg,07/06/2020,https://www.politifact.com/factchecks/2020/jul/06/donald-trump/donald-trumps-false-claim-99-covid-19-cases-are-ha/,Low,High,,,"The statement is misleading because it implies that COVID-19 is not a serious concern for most people, which is not accurate.",False,The statement is a broad generalization that does not take into account the varying severity of COVID-19 cases and the potential long-term effects of the disease.,"The statement may be based on a selective interpretation of data, ignoring cases that are severe or have long-term effects.",,,,
8688,half-true,Mark Kelly,"Says Martha McSally ""voted to take away money from Fort Huachuca to pay for the border wall.""",10/06/2020,speech,Miriam Valverde,10/14/2020,https://www.politifact.com/factchecks/2020/oct/14/mark-kelly/kellys-claim-mcsally-voted-take-money-az-military-/,1,,,,,'false',,,,,,
1866,half-true,Beto O'Rourke,"El Paso is the ""safest city in the state of Texas, safest city in the United States.""",3/31/2017,campaign,W. Gardner Selby,4/14/2017,https://www.politifact.com/factchecks/2017/apr/14/beto-orourke/beto-orourke-relies-disputed-rankings-calling-el-p/,1,,,,,False,,,,,,
2729,FALSE,Kimberley Strassel,"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",5/28/2017,news,Lauren Carroll,06/02/2017,https://www.politifact.com/factchecks/2017/jun/02/kimberley-strassel/did-obama-seek-back-channel-talks-iran-during-his-/,"1. This statement does not appear to be rude, disrespectful, or unreasonable. It is a claim about political events and does not seem to be intended to make someone leave a discussion.",,,,,No verdict,,,,,,
6934,pants-fire,Tom Letson,"Says Gov. John Kasich implied that a portion of workers’ compensation rebates to employers ""should be directed back to him in the form of campaign cash.""",5/16/2013,email,Henry J. Gomez,06/07/2013,https://www.politifact.com/factchecks/2013/jun/07/tom-letson/state-rep-tom-letson-suggests-ohio-gov-john-kasich/,6,,,,,False,,,,,,
10706,mostly-true,Ron Wyden,"""We had bipartisan legislation that got through the Senate"" that would have prevented bonuses like AIG's ""and then somehow mysteriously disappeared.""",3/17/2009,news,Alexander Lane,3/18/2009,https://www.politifact.com/factchecks/2009/mar/18/ron-wyden/aig-bonus-wyden-snowe/,1,,,,,False,,,"The statement is false because there was bipartisan legislation that passed in the House of Representatives, not the Senate, to impose a 90% tax on bonuses paid out by companies that received more than $5 billion in bailout money. However, this bill did not disappear; it was not brought to a vote in the Senate, and its provisions were not included in the final version of the financial regulatory reform bill that was eventually passed into law.",,,
20329,pants-fire,Michele Bachmann,"ACORN will be a paid partner with the Census Bureau and ""they will be in charge of going door-to-door and collecting data from the American public.""",6/17/2009,news,Robert Farley,6/26/2009,https://www.politifact.com/factchecks/2009/jun/26/michele-bachmann/michele-bachmann-claims-acorn-getting-money-work-c/,1,,,,,False,,,,,,
18147,FALSE,Donald Trump,"""The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!""",4/18/2017,social_media,Amy Sherman,4/18/2017,https://www.politifact.com/factchecks/2017/apr/18/donald-trump/trump-falsely-claims-obama-policies-blame-growth-m/,,,5.0,,,false,,,"The MS-13 gang originated in Los Angeles, California, in the 1980s, not during the Obama administration. Moreover, weakness in immigration policies is not the sole cause of gang formation. Various factors, such as social and economic conditions, contribute to the emergence of gangs.",,,
13149,half-true,Sheri Dillon,"""Paying for a hotel room is not a gift or a present and it has nothing to do with an office. It's not an emolument.""",01/11/2017,news,Lauren Carroll,1/13/2017,https://www.politifact.com/factchecks/2017/jan/13/sheri-dillon/trump-lawyer-foreign-dignitaries-staying-trump-hot/,1,,,,,True,,,,,,
