Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
18310,true,Citizens for the Republic,"Children born today will carry a $30,000 share of the national debt.",9/21/2010,campaign,Louis Jacobson,9/23/2010,https://www.politifact.com/factchecks/2010/sep/23/citizens-republic/mourning-america-ad-echoing-reagan-classic-gets-it/,1,False
11948,mostly-true,Gina Raimondo,"""The pension fund in the city of Providence is only 30 percent funded, about the same level as when he [Taveras] took office.""",8/26/2014,speech,C. Eugene Emery Jr.,8/31/2014,https://www.politifact.com/factchecks/2014/aug/31/gina-raimondo/gina-raimondo-says-providences-pension-fund-has-re/,1,Unverifiable
8016,pants-fire,Rick Perry,"My ""border security efforts have led to a 60 percent decrease in border crime.""",3/10/2010,blog,Meghan Ashford-Grooms,3/16/2010,https://www.politifact.com/factchecks/2010/mar/16/rick-perry/gov-rick-perry-says-his-border-security-efforts-le/,1,'false'
5903,mostly-true,Josh Hawley,"Says ""Claire McCaskill voted for 100 percent of President Obama’s judicial nominees.""",7/9/2018,campaign,Louis Jacobson,7/10/2018,https://www.politifact.com/factchecks/2018/jul/10/josh-hawley/did-claire-mccaskill-vote-100-obamas-judicial-nomi/,1,'true'
6873,false,Donald Trump,"""Twitter, Google and Facebook are burying the FBI criminal investigation of Clinton. Very dishonest media!""",10/30/2016,social_media,Lauren Carroll,11/2/2016,https://www.politifact.com/factchecks/2016/nov/02/donald-trump/trump-says-twitter-google-facebook-buried-clinton-/,7,False
19804,mostly-false,Peter Palumbo,"Rhode Island gives undocumented pregnant women health insurance, plus a cash card ""with $400 a month on it"" and ""$250 a month or $275 a month to spend on food.""",9/9/2010,news,Cynthia Needham,9/19/2010,https://www.politifact.com/factchecks/2010/sep/19/peter-palumbo/palumbo-says-ri-gives-undocumented-pregnant-women-/,1,False
14634,false,Dick Cheney,"Says it’s ""an old wives’ story"" that Margaret Thatcher told George H.W. Bush not to go wobbly.",4/8/2013,news,Becky Bowers,4/10/2013,https://www.politifact.com/factchecks/2013/apr/10/dick-cheney/dick-cheney-margaret-thatcher-go-wobbly/,1,True
9956,pants-fire,Facebook posts,"""Military take over on May 11 confirmed!""",6/9/2022,social_media,Ciara O'Rourke,6/13/2022,https://www.politifact.com/factchecks/2022/jun/13/facebook-posts/no-military-takeover-hasnt-been-confirmed/,1,False
7062,half-true,Lamar Alexander,"The health care bill ""dumps 15 to 18 million low-income Americans into a Medicaid program that none of us want to be a part of because 50 percent of doctors won't see new patients.""",2/25/2010,other,Catharine Richert,3/1/2010,https://www.politifact.com/factchecks/2010/mar/01/lamar-alexander/health-care-reform-expand-Medicaid-doctors/,1,False
13727,mostly-false,Rudy Giuliani,"""We haven't built a refinery, I think, in 30 years.""",1/5/2008,speech,Asjylyn Loder,1/10/2008,https://www.politifact.com/factchecks/2008/jan/10/rudy-giuliani/capacity-has-increased/,1,False
5091,half-true,Tammy Baldwin,"The Orlando shooter used ""a weapon of war.""",6/17/2016,radio,Sarah Hauer,7/1/2016,https://www.politifact.com/factchecks/2016/jul/01/tammy-baldwin/was-gun-used-orlando-shooter-weapon-war/,1,True
19673,pants-fire,Donald Trump,"""For years, they have not been able to get tax cuts -- many, many years, since Reagan.""",11/29/2017,speech,Louis Jacobson,11/30/2017,https://www.politifact.com/factchecks/2017/nov/30/donald-trump/donald-trump-wrong-no-tax-cuts-passed-reagan/,1,False
5115,half-true,Mark Warner,"Says the Trump administration has ""a scheme to try to take (Oleg Deripaska’s) ownership level down from 70 percent to roughly 40, 45"" so that the Russian company is no longer subject to sanctions.",1/13/2019,news,John Kruzel,1/15/2019,https://www.politifact.com/factchecks/2019/jan/15/mark-warner/trump-wants-lift-sanctions-related-russian-oligarc/,1,true
20153,half-true,Occupy Democrats,"""The Postal Service only gives tribal residents PO boxes. The Republican-controlled Supreme Court just said it’s totally okay for North Dakota to demand that ONLY residents with street addresses can vote. Native Americans were the last to get the right to vote, and now they are the first to lose it.""",10/15/2018,social_media,Tessa Weinberg,10/23/2018,https://www.politifact.com/factchecks/2018/oct/23/occupy-democrats/native-americans-werent-last-get-right-vote-occupy/,1,False
8834,half-true,Marco Rubio,"""We are dealing with an administration that, quite frankly, has shown a reluctance to enforce the immigration law.""",4/30/2013,news,Molly Moorhead,5/7/2013,https://www.politifact.com/factchecks/2013/may/07/marco-rubio/marco-rubio-says-obama-shows-reluctance-enforc/,1,Subjective
12773,pants-fire,Bloggers,"Says Hillary Clinton had an ""undercover nurse"" with her at the Sept. 11 memorial ceremony in New York.",9/13/2016,blog,Aaron Sharockman,9/13/2016,https://www.politifact.com/factchecks/2016/sep/13/blog-posting/hillary-clinton-undercover-nurse-story-bogus/,1,false
9216,false,Donald Trump,"Says after Hillary Clinton helped a man accused of raping a 12-year-old, ""she's seen laughing on two separate occasions, laughing at the girl who was raped.""",10/9/2016,speech,C. Eugene Emery Jr.,10/10/2016,https://www.politifact.com/factchecks/2016/oct/10/donald-trump/trump-says-clinton-laughed-about-rape-case/,1,false
8480,half-true,Rebecca Dallet,"Says Supreme Court rival Michael Screnock ""is running with the Koch brothers support.""",2/2/2018,news,D.L. Davis,3/29/2018,https://www.politifact.com/factchecks/2018/mar/29/rebecca-dallet/wisconsin-supreme-court-candidate-rebecca-dallet-s/,1,Unverified
13222,true,"Virginia ""Jennie Lou"" Leeder","Texas spends ""more per day to house an inmate than we do on a student.""",10/17/2016,news,Fauzeya Rahman,11/18/2016,https://www.politifact.com/factchecks/2016/nov/18/jennie-lou-leeder/democrat-jennie-lou-leeder-says-texas-spends-more-/,1,True
3142,false,Hillary Clinton,"""It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding.""",10/30/2007,other,Rachel Bloom,11/2/2007,https://www.politifact.com/factchecks/2007/nov/02/hillary-clinton/nih-funding-is-up-under-bush/,1,False
9358,mostly-false,Rick Scott,"""We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.""",5/20/2013,other,Katie Sanders,5/20/2013,https://www.politifact.com/factchecks/2013/may/20/rick-scott/gov-rick-scott-sticking-altered-700000-jobs-promis/,1,Unverifiable
15617,mostly-false,Joe Biden,"On COVID-19, Donald Trump said that ""maybe if you drank bleach you may be okay.""",7/9/2020,speech,Jessica Calefati,7/11/2020,https://www.politifact.com/factchecks/2020/jul/11/joe-biden/no-trump-didnt-tell-americans-infected-coronavirus/,1,False
16224,pants-fire,Viral image,"Anthony Bourdain and Chris Cornell were killed while working on a documentary about ""widespread pedophilia.""",7/6/2022,social_media,Ciara O'Rourke,7/11/2022,https://www.politifact.com/factchecks/2022/jul/11/viral-image/no-anthony-bourdain-and-other-celebrities-werent-k/,1,False
10775,false,Viral image,A photo shows Brian Kemp posing with Gregory McMichael.,5/6/2020,social_media,Ciara O'Rourke,5/8/2020,https://www.politifact.com/factchecks/2020/may/08/viral-image/no-isnt-photo-brian-kemp-and-gregory-mcmichael/,1,Unverified
15789,false,Tweets,"Photos show ""diesel generators"" at the COP26 climate change conference.",11/9/2021,social_media,Tom Kertscher,11/10/2021,https://www.politifact.com/factchecks/2021/nov/10/tweets/Those-are-not-diesel-generators-at-the-COP26-clim/,1,True
2156,false,John Kennedy,"Says former Ukraine President Petro Poroshenko ""actively worked for Secretary Clinton.""",12/1/2019,news,Jon Greenberg,12/4/2019,https://www.politifact.com/factchecks/2019/dec/04/john-kennedy2/gop-senator-falsely-says-ukraine-president-helped-/,1,False
5134,mostly-true,Barack Obama,"""Today, we have more boots on the ground near the Southwest border than at any time in our history.""",7/1/2010,speech,Angie Drobnic Holan,7/2/2010,https://www.politifact.com/factchecks/2010/jul/02/barack-obama/us-has-more-border-patrol-agents-border-mexico-eve/,1,'false'
6337,false,House Republican Conference,Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,9/22/2009,news,Angie Drobnic Holan,9/30/2009,https://www.politifact.com/factchecks/2009/sep/30/house-republicans/medicare-aarp-humana-politics/,1,Unverified
16170,mostly-true,Kasim Reed,My office is about a 300-step walk to the governor's office.,5/29/2013,meeting,Janel Davis,6/5/2013,https://www.politifact.com/factchecks/2013/jun/05/kasim-reed/distance-between-deal-reed-can-be-measured-steps/,1,Unverifiable
16702,mostly-false,Facebook posts,"The longest filibuster in U.S. history was 75 days and ""took place in 1964, when Democrats tried to block the Civil Rights Act.""",6/29/2020,social_media,Samantha Putterman,7/30/2020,https://www.politifact.com/factchecks/2020/jul/30/facebook-posts/group-southern-democrats-not-all-democrats-held-19/,1,False
14009,mostly-false,Cory Booker,"""Nowadays, there is more regulation over toy guns than real ones.""",5/6/2019,blog,Yanqi Xu,5/10/2019,https://www.politifact.com/factchecks/2019/may/10/cory-booker/cory-bookers-claim-about-no-regulations-firearms-m/,1,False
15636,mostly-true,Robert Hagan,"""The governor won this state with 49 percent. We had some of the closest races in the House in history. So you’re not dealing with this 70-30, like they want to make it.""",11/3/2011,news,Henry J. Gomez,11/14/2011,https://www.politifact.com/factchecks/2011/nov/14/robert-hagan/state-rep-robert-hagan-says-ohio-isnt-70-30-republ/,1,'true'
4617,half-true,Greater Wisconsin Committee,"Says Republican recall challenger Jonathan Steitz ""failed to pay his taxes.""",8/4/2011,campaign,Tom Kertscher,8/12/2011,https://www.politifact.com/factchecks/2011/aug/12/greater-wisconsin-political-fund/gop-recall-candidate-jonathan-steitz-failed-pay-hi/,1,Unverified
7424,mostly-false,Tom Tiffany,"Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer",7/20/2021,social_media,Laura Schulte,8/6/2021,https://www.politifact.com/factchecks/2021/aug/06/tom-tiffany/tiffany-misses-point-behind-why-prices-are-rising-/,1,False
