Unnamed: 0.1,Unnamed: 0,verdict,statement_originator,statement_x,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity_GPT3_wNV,Fact_assessment_GPT3_wNV,Offensive Assessment,statement_y,Toxicity_GPT4_without_NV,Fact assessment_GPT4_without_NV,statement_z,Toxicity_GPT4_with_NV,Fact assessment_GPT4_with_NV,statement_w_x,Toxicity_GPT3_without_NV_x,Fact assessment_GPT3_without_NV_x,statement_w_y,Toxicity_GPT3_without_NV_y,Fact assessment_GPT3_without_NV_y,Toxicity,Fact assessment,Source Verification,Fact Assessment,Image assessment
200,2447,mostly-true,Rick Perry,"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago.""",1/29/2013,speech,W. Gardner Selby,2/11/2013,https://www.politifact.com/factchecks/2013/feb/11/rick-perry/rick-perry-says-texas-has-third-highest-high-schoo/,1,'true',,,,,"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago.""",,No verdict,"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago.""",1.0,'true',"Says Texas high school ""graduation rates are at an all-time high—the third-highest in the nation—which represents a significant turnaround from just a few short years ago.""",1.0,'true',1,This statement cannot be fact-checked without specific data.,,,
201,3951,pants-fire,Viral image,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,7/4/2022,social_media,Ciara O'Rourke,7/7/2022,https://www.politifact.com/factchecks/2022/jul/07/viral-image/video-joe-biden-slowed-down-his-speech/,1,no verdict,,,,,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,1.0,No verdict,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,2.0,False,A video shows Joe Biden speaking slowly and slurring on the Fourth of July.,2.0,False,1,'false',,,
202,10628,pants-fire,Facebook posts,The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,1/28/2019,social_media,Samantha Putterman,2/1/2019,https://www.politifact.com/factchecks/2019/feb/01/facebook-posts/conspiracy-theorists-peddle-fake-claim-about-1986-/,10,False,,,,,The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,1.0,False,The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,10.0,False,The 1986 Challenger Space Shuttle disaster was a hoax; the crew did not die and are still alive today.,10.0,False,1,False,,,
203,1988,pants-fire,Donald Trump,"""Look, we are at war with these people and they don't wear uniforms. … This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.""",5/23/2016,news,Louis Jacobson,5/25/2016,https://www.politifact.com/factchecks/2016/may/25/donald-trump/donald-trump-says-us-letting-tens-thousands-terror/,8,No verdict,,,,,"""Look, we are at war with these people and they don't wear uniforms. … This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.""",3.0,No verdict,"""Look, we are at war with these people and they don't wear uniforms. … This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.""",7.0,false,"""Look, we are at war with these people and they don't wear uniforms. … This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.""",7.0,false,3,False,,,
204,19862,mostly-false,EnergyCitizens.org,Gas will reach $4 a gallon under a cap-and-trade plan.,9/30/2009,advertisement,Catharine Richert,9/30/2009,https://www.politifact.com/factchecks/2009/sep/30/energycitizensorg/energycitizensorg-claims-gas-will-cost-4-gallon-un/,2,No verdict,,,,,Gas will reach $4 a gallon under a cap-and-trade plan.,1.0,No verdict,Gas will reach $4 a gallon under a cap-and-trade plan.,2.0,false,Gas will reach $4 a gallon under a cap-and-trade plan.,2.0,false,1,False,,,
205,4732,mostly-true,Barack Obama,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",12/1/2009,speech,Angie Drobnic Holan,12/3/2009,https://www.politifact.com/factchecks/2009/dec/03/barack-obama/obama-says-extremists-sent-us-afghanistan-pakistan/,3,'no verdict',,,,,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",1.0,No verdict,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",3.0,true,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",3.0,true,1,Unverifiable,,,
206,12332,pants-fire,Facebook posts,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",3/6/2019,social_media,Samantha Putterman,3/15/2019,https://www.politifact.com/factchecks/2019/mar/15/facebook-posts/no-prince-did-not-invest-nike-or-design-first-air-/,1,False,,,,,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",,False,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",1.0,False,"Says Prince invested in Nike in 1971, recruited Michael Jordan to the company in 1983 and designed the first Air Jordans.",1.0,False,1,false,,,
207,11681,half-true,Joe Biden,"Says Donald Trump is ""the worst jobs president in recorded history.""",9/18/2020,social_media,Louis Jacobson,9/24/2020,https://www.politifact.com/factchecks/2020/sep/24/joe-biden/donald-trump-worst-jobs-president-recorded-history/,3,no verdict,,,,,"Says Donald Trump is ""the worst jobs president in recorded history.""",1.0,False,"Says Donald Trump is ""the worst jobs president in recorded history.""",2.0,False,"Says Donald Trump is ""the worst jobs president in recorded history.""",2.0,False,1,False,,,
208,17426,false,Mike Pence,"""Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.""",7/20/2010,news,Louis Jacobson,7/22/2010,https://www.politifact.com/factchecks/2010/jul/22/mike-pence/mike-pence-says-democrats-want-all-bush-tax-cuts-e/,2,False,,,,,"""Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.""",1.0,No verdict,"""Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.""",1.0,false,"""Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.""",1.0,false,1,False,,,
209,859,half-true,Paul Ryan,"In the United States, ""we tax our exports and don't tax our imports.""",1/25/2017,news,Tom Kertscher,2/9/2017,https://www.politifact.com/factchecks/2017/feb/09/paul-ryan/does-united-states-tax-exports-not-imports/,1,'false',,,,,"In the United States, ""we tax our exports and don't tax our imports.""",1.0,False,"In the United States, ""we tax our exports and don't tax our imports.""",1.0,false,"In the United States, ""we tax our exports and don't tax our imports.""",1.0,false,1,False,,,
